,,,,,Number of,,Number of,,Number of,,Nurses and,,Hospital ,,Total expenditure,General government,Per capita total,Coverage of vital,,
,,,WHO,,physiciansa,,nurses and midwivesa,,health workersa,,midwives to physiciansa,,bedsa,, on healthb,expenditure on healthb,expenditure on healthb,registration of deathsc,,
,,Country,region,,(per 10 000),year,(per 10 000),year,(per 10 000),year,(ratio),year,(per 10 000),year,(% of gross domestic product),(% of total government expenditure),(international dollars),(%),year,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2002,2002,2002,,,
,,,,,,,,,,,,,,,,,,,,
1,,Afghanistan,EMR,,1.9,2001,2.2,2001,4.1,2001,1.2,2001,4,2001,8.0,23.1, 34,<25,2002,
2,,Albania,EUR,,13.3,2002,37.0,2003,50.3,2003,2.8,2003,31,2003,6.1,8.1, 302,94,2003,
3,,Algeria,AFR,,8.5,1995,29.8,1995,38.2,1995,3.5,1995,…,…,4.3,9.1, 182,76,2000,
4,,Andorra,EUR,,35.0,2003,30.8,2003,65.8,2003,0.9,2003,33,2003,6.5,26.6,1 908,46,2000,
5,,Angola,AFR,,0.8,1997,11.9,1997,12.7,1997,15.4,1997,…,…,5.0,4.1, 92,<25,2002,
6,,Antigua and Barbuda,AMR,,10.5,1999,33.2,1999,43.7,1999,3.2,1999,25,2003,4.8,14.1, 527,>75,1995,
7,,Argentina,AMR,,30.4,1998,5.9,1998,36.3,1998,0.2,1998,41,2000,8.9,15.3, 956,100,2002,
8,,Armenia,EUR,,34.2,2003,45.9,2003,80.1,2003,1.3,2003,44,2003,5.8,6.0, 232,78,2003,
9,,Australia,WPR,,24.7,2001,91.2,2002,115.9,2002,3.7,2002,40,2001,9.5,17.1,2 699,100,2001,
10,,Austria,EUR,,33.8,2003,62.2,2003,96.0,2003,1.8,2003,83,2003,7.7,10.5,2 220,100,2003,
11,,Azerbaijan,EUR,,36.1,2003,84.2,2003,120.3,2003,2.3,2003,83,2003,3.7,2.9, 120,72,2002,
12,,Bahamas,AMR,,16.7,2002,23.8,2002,40.5,2002,1.4,2002,34,2002,6.9,14.6,1 074,88,2000,
13,,Bahrain,EMR,,18.5,2003,45.7,2003,64.2,2003,2.5,2003,28,2003,4.4,9.5, 792,90,2001,
14,,Bangladesh,SEAR,,2.5,2001,2.4,2001,4.9,2001,1.0,2001,3,1999,3.1,4.4, 54,<25,2002,
15,,Barbados,AMR,,13.7,1999,51.2,1999,64.9,1999,3.7,1999,21,2002,6.9,12.3,1 018,100,2000,
16,,Belarus,EUR,,45.6,2003,121.8,2003,167.4,2003,2.7,2003,113,2003,6.4,10.5, 583,98,2003,
17,,Belgium,EUR,,44.8,2002,113.9,1996,158.7,1996/02,2.5,1996/02,70,2001,9.1,12.8,2 515,100,1997,
18,,Belize,AMR,,10.2,2000,12.3,2000,22.5,2000,1.2,2000,13,2003,5.2,5.3, 300,100,2000,
